,HOME,AWAY,PTS,FG%,3P%,FT%,OREB,DREB,REB,AST,BLK,TOV,PF
461,TOR,SAS,8.926829268292678,1.4926829268292607,0.4975609756097725,0.996341463414609,-0.5975609756097562,0.3658536585365866,-0.23170731707317316,1.5487804878048763,0.4878048780487809,0.20731707317073145,4.5731707317073145
462,UTA,TOR,-7.512195121951223,-1.0207317073170827,0.930487804878048,-0.4743902439024197,-0.7317073170731714,-0.0,-0.731707317073166,-1.9024390243902438,-0.975609756097561,1.3414634146341466,-2.1341463414634134
463,WAS,UTA,2.4634146341463463,0.5195121951219477,0.6426829268292877,-0.8621951219511885,1.0121951219512209,-1.146341463414636,-0.13414634146341342,2.7560975609756113,-0.8170731707317076,-0.10975609756097526,1.6829268292682933
464,BOS,ATL,0.6585365853658516,0.35609756097562695,1.7817073170731632,-1.5475609756097555,0.29268292682926855,2.256097560975604,2.5487804878048763,-1.2682926829268268,0.30487804878048763,-1.536585365853659,0.1463414634146325
465,CHA,BKN,1.621951219512198,0.8451219512195323,0.698780487804882,-3.178048780487785,0.42682926829268375,0.5975609756097526,1.0243902439024382,-2.085365853658537,-0.20731707317073145,-2.487804878048781,-3.402439024390244
466,CHI,BOS,-1.0853658536585442,-1.5439024390244072,-2.7768292682926585,-1.4585365853658345,0.2804878048780495,-0.07317073170731447,0.2073170731707279,0.9878048780487809,-1.024390243902439,-0.012195121951219079,-0.5731707317073145
467,CLE,CHA,2.646341463414629,2.663414634146335,0.9487804878048678,3.0719512195121865,-1.6219512195121961,-1.707317073170728,-3.329268292682926,1.7804878048780495,-0.7439024390243905,1.036585365853659,1.4024390243902438
468,DAL,CHI,-0.6097560975609753,0.9670731707317088,0.7378048780487632,0.6146341463414728,-1.5121951219512209,-1.8902439024390247,-3.4024390243902403,-0.7926829268292686,0.25609756097560954,-1.7073170731707314,0.08536585365853355
469,DEN,CLE,-0.8658536585365795,-0.689024390243901,-0.515853658536571,-0.7121951219512255,2.536585365853659,-0.15853658536585158,2.378048780487809,1.7439024390243887,1.1219512195121952,1.2195121951219505,0.10975609756097526
470,DET,DAL,1.4512195121951237,0.46463414634147426,1.139024390243904,-2.180487804878055,2.0,0.47560975609756184,2.475609756097562,0.12195121951219434,0.08536585365853666,1.1585365853658534,-0.853658536585364
471,GSW,DEN,3.4634146341463463,3.3182926829268453,2.159756097560958,4.296341463414606,-2.5731707317073162,1.5731707317073145,-1.0,4.182926829268293,2.536585365853659,0.47560975609756184,0.9024390243902438
472,HOU,DET,8.585365853658544,1.0146341463414572,-0.845121951219518,3.885365853658527,-1.1097560975609753,0.8414634146341484,-0.26829268292683395,-1.2317073170731732,0.9146341463414633,0.4024390243902438,1.085365853658537
473,IND,GSW,-7.902439024390247,-3.045121951219542,-2.3036585365853597,-3.2475609756097157,1.1829268292682915,-2.353658536585364,-1.1707317073170742,-7.109756097560975,-3.3170731707317076,-2.158536585365855,-0.7682926829268304
474,LAC,HOU,-3.3658536585365937,1.2658536585366065,-1.267073170731713,-4.09146341463412,1.1341463414634152,-0.7195121951219505,0.4146341463414629,0.7926829268292686,-0.24390243902439046,0.8414634146341466,0.5
475,LAL,IND,2.5121951219512226,-1.2182926829268297,-2.579268292682933,-6.300000000000011,1.073170731707318,2.963414634146339,4.036585365853654,1.585365853658537,0.5853658536585362,2.52439024390244,2.3414634146341484
476,MEM,LAC,-9.658536585365852,-2.8707317073170984,-0.01707317073169179,4.278048780487794,-0.6463414634146343,-2.707317073170735,-3.353658536585364,-0.7926829268292686,0.29268292682926855,0.2804878048780477,3.1951219512195124
477,MIA,LAL,-4.658536585365852,-0.4865853658536565,1.7999999999999972,3.7317073170731874,-1.3780487804878057,-1.5365853658536608,-2.914634146341463,-1.060975609756099,0.5975609756097562,-1.4268292682926838,-1.073170731707318
478,MIL,MEM,7.146341463414629,3.467073170731723,0.5280487804878007,0.19756097560977537,-1.1097560975609753,0.4268292682926855,-0.6829268292682897,1.6829268292682933,0.5731707317073171,-1.1219512195121943,-1.8048780487804876
479,MIN,MIA,6.097560975609753,2.148780487804892,0.002439024390255895,4.65609756097561,1.036585365853659,-2.5365853658536572,-1.5,-0.012195121951219079,-1.1219512195121952,-1.914634146341463,-1.8658536585365866
480,NOP,MIL,5.243902439024396,0.5402439024390162,0.31707317073171026,-0.971951219512249,0.29268292682926855,4.195121951219512,4.487804878048777,3.536585365853661,0.51219512195122,1.0731707317073162,-2.219512195121954
481,NYK,MIN,-5.048780487804876,-1.2768292682927012,-0.5414634146341442,-1.5512195121951464,0.1341463414634152,1.9390243902439046,2.0731707317073216,0.6219512195121943,0.9268292682926829,2.2804878048780495,2.2804878048780495
482,OKC,NOP,-3.8658536585365795,-3.110975609756082,-0.7292682926829386,-5.970731707317043,3.8048780487804876,-3.0731707317073216,0.7317073170731732,-5.4268292682926855,-0.8902439024390247,-0.926829268292682,1.0121951219512226
483,ORL,NYK,-1.060975609756099,-1.178048780487785,-0.457317073170735,-2.495121951219545,-1.6707317073170742,-0.7317073170731732,-2.4024390243902474,0.10975609756097526,-0.25609756097560954,-0.19512195121951237,-1.2560975609756078
484,PHI,OKC,1.9512195121951237,1.9243902439024438,1.4743902439024552,4.462195121951211,-1.5975609756097562,3.9634146341463463,2.3658536585365866,5.743902439024392,0.09756097560975618,2.512195121951219,1.926829268292682
485,PHX,ORL,0.524390243902431,-0.965853658536588,-1.2634146341463293,-2.428048780487771,1.463414634146341,1.0243902439024382,2.4878048780487845,-2.1707317073170707,-0.3658536585365857,1.1829268292682915,2.780487804878046
486,POR,PHI,-4.182926829268297,-1.8963414634146503,0.045121951219506684,4.598780487804902,-0.7073170731707314,-1.2560975609756113,-1.9634146341463463,-7.585365853658537,0.036585365853658125,-2.975609756097562,-2.585365853658537
487,SAC,PHX,-5.097560975609753,0.7463414634146375,4.153658536585368,0.2987804878048621,-0.8048780487804876,-2.414634146341463,-3.2195121951219505,0.30487804878048763,-0.3658536585365848,-2.0,-2.0487804878048763
